ID,Phase,Priority,Status,Task,Where,Owner,Reference,Done when,Notes,project_id
GG-001,0 — Done,P0,Done,Gilded Goose LLC active; 51%+ woman-owned,Gilded Goose LLC,Kate,BUSINESS-BIO.md,Confirmed on file,Config E A,P009
GG-002,0 — Done,P0,Done,FSA farm number obtained,FSA / NRCS,Kate,GG-G02,Number on file,Jun 2026 email search,P009
GG-003,0 — Done,P0,Done,NRCS intake: paperwork + site map submitted,NRCS Walsenburg,Kate,sammie.molinaro@usda.gov,Sammie confirmed received,Jun 17 2026,P009
GG-004,0 — Done,P0,Done,NRCS reply acknowledged; awaiting Garrett Quintana,NRCS Walsenburg,Kate,Garrett.Quintana@usda.gov,Team follow-up confirmed,Jun 18 2026 Kate replied,P009
GG-005,0 — Done,P0,Done,Property profile locked: 36 ac Gardner; cistern; no well,Lazy Goose Acres,Kate,recurring_grants_hunt plan,Profile in tracker,Water constraint for EQIP + camp Config G I,P009
GG-G01,0 — Done,P0,Done,Site map + proposed practices sent to NRCS,NRCS,Kate,GG-003,Map on file with NRCS,Garrett visit prep item 1,P009
GG-G02,0 — Done,P0,Done,FSA farm number active,FSA,Kate,GG-002,Farm records current,Garrett visit prep item 2,P009
GG-G03,0 — Done,P0,Done,Prioritized practice list aligned with map,NRCS packet,Kate,site map,List matches map,Garrett visit prep item 3,P009
GG-G04,0 — Done,P0,Done,Site photos / problem areas documented,Lazy Goose Acres,Kate,photo folder,Photos ready for visit,Garrett visit prep item 4,P009
GG-G05,0 — Done,P0,Done,Material-participation hours documented for beginning farmer,FSA records,Kate,beginning farmer docs,Hours on file,Garrett visit prep item 5,P009
GG-Q01,3 — Garrett prep,P1,Open,EQIP applicant entity: Lazy Goose Acres LLC or Gilded Goose Limited?,Field visit,Kate,GG-007,Answer recorded in GRANTS-TRACKER,Ask Garrett at first site walk,P009
GG-Q02,3 — Garrett prep,P1,Open,Top resource concerns given no well — cistern + haul water only?,Field visit,Kate,GG-005,Answer recorded,Water drives practice ranking,P009
GG-Q03,3 — Garrett prep,P1,Open,Realistic year-1 practices: fencing access/drainage cover crop high tunnel livestock water cistern/storage?,Field visit,Kate,site map,Short list agreed with Garrett,Align with map + water constraint,P009
GG-Q04,3 — Garrett prep,P1,Open,Qualify for beginning farmer / HU set-aside and EQIP advance payment?,Field visit,Kate,GG-G05,Yes/no + docs needed,May affect payment timing,P009
GG-Q05,3 — Garrett prep,P1,Open,Any 2026 EQIP ranking batch we still fit or path strictly FY2027 funding ~Jun 2027?,Field visit,Kate,GG-020,Answer logged,Colorado extra batches e.g. Jun 8 2026,P009
GG-Q06,3 — Garrett prep,P2,Open,Can on-farm solar/wind tie into ACRE3 or agrivoltaics on this farm operation?,Field visit,Kate,Config I,Answer recorded,Research track not apply-now,P009
GG-Q07,3 — Garrett prep,P1,Open,Conservation plan timeline before EQIP contract — how many site visits?,Field visit,Kate,GG-W02,Timeline noted,Sets expectations for FY2027,P009
GG-Q08,3 — Garrett prep,P1,Open,Does 36 ac with cistern-only water affect irrigation efficiency practice eligibility?,Field visit,Kate,GG-005,Answer recorded,No well = haul/bulk water only,P009
GG-Q09,3 — Garrett prep,P2,Open,FSA contact at Walsenburg if farm records need updating before contract?,Field visit / phone,Kate,719-738-1171,Contact name + email saved,Before EQIP contract,P009
GG-Q10,3 — Garrett prep,P1,Open,What docs to bring to first field visit: deed LLC articles photo printouts?,Field visit,Kate,GG-W01,Checklist packed,Bring deed legal description; parcel ID not required now,P009
GG-006,1 — Foundation,P2,Deferred,Assessor parcel ID — deed has legal description not labeled parcel ID; county account # before EQIP contract or Land Use CUP,Huerfano Assessor / deed,Kate,719-738-2380,Account # or N/A in GRANTS-TRACKER,Not blocking Garrett visit Galaxy Startup or IFundWomen,P009
GG-007,1 — Foundation,P1,Open,File Lazy Goose Acres LLC if not already filed,CO SOS,Kate,GG-Q01,Articles filed + EIN if needed,Before Garrett field visit; confirms EQIP entity,P009
GG-008,1 — Foundation,P1,Done,Create GRANTS-TRACKER.md + GRANT-SEARCH.md with GG-IDs on every row,gilded-goose/,Kate,GRANTS-TRACKER.md GRANT-SEARCH.md,Both files in repo,Jun 19 2026 deep sweep added 40+ programs,P009
GG-009,1 — Foundation,P1,Done,Grant search sweep: query bundles B E A-LILA C; score; hold below 50,GRANT-SEARCH.md,Kate,GRANTS-TRACKER.md,Sweep logged Jun 19 2026,Web + plan master list; email mining pending Gmail export,P009
GG-010,1 — Foundation,P2,Open,Subscribe CDA CFA Startup CO OEDIT CCI Hello Alice CaFE Artwork Archive Western SARE,Email / web,Kate,GRANT-SEARCH.md portals table,Alerts active,Once setup — see GRANT-SEARCH.md portal list,P009
GG-011,2 — Apply now,P1,Open,Galaxy Grant — submit application,Gilded Goose / web,Kate,galaxygrant.com,Submitted before Jul 31 2026,Config E consulting ABM; free app,P009
GG-012,2 — Apply now,P1,Open,IFundWomen — complete founder profile,Gilded Goose / web,Kate,ifundwomen.com,Profile 100% complete,Rolling; woman-owned 51%+,P009
GG-013,2 — Apply now,P1,Open,Startup Colorado Entrepreneur Grant — apply,Gilded Goose / web,Kate,startupcolorado.org,Application submitted,Rural training event consulting use Config E,P009
GG-014,2 — Apply now,P1,Open,CDA CFA Equipment Tax Credit — PRIORITY: LILA check + healthy-food equip/vehicle plan; apply by Aug 31 2026,CDA CFA,Kate,https://ag.colorado.gov/markets/markets-funding/community-food-access-program/community-food-access-equipment-tax-credit,Certificate path clear; purchases in 2026,75% refundable credit: cold storage delivery vehicle tractor mercantile; NOT candy-only; FAQ + 8 CCR 1204-10 in Downloads,P009
GG-036,4 — Research,P2,Open,RESTORE Colorado — read RFP when posted; scout 501(c)(3) partner,GOCO / NFWF,Kate,https://goco.org/grants/programs/restore-colorado,RFP read + partner shortlist by Aug 31 2026,RFP Aug 2026; apps Nov 2026; LLC ineligible — habitat/grassland angle,P009
GG-015,2 — Apply queue,P1,Done,Walsenburg Mercantile — confirm 35% rev-share; healthy-food expansion,Mercantile 408 Russell Ave,Kate,719-890-1240,35% rev-share confirmed,Config A mercantile mobile grocery,P009
GG-016,2 — Apply queue,P2,Open,HCED Jump-Start new-division question only secondary,HCED Walsenburg,Kate,When visiting county,Question asked + answer noted,Config B E Lazy Goose,P009
